CpG_id	Symbol	Description
cg00071998	MSH5	mutS homolog 5 isoform c
cg00072216	MXD4	MAD4
cg00073650	HSPC176	hematopoietic stem/progenitor cells 176
cg00075967	STRA6	stimulated by retinoic acid gene 6 homolog
cg00076645	DC-UbP	dendritic cell-derived ubiquitin-like protein
cg00077457	ZNF326	zinc finger protein 326 isoform 2
cg00077877	DDEF1	development and differentiation enhancing factor 1
cg00078194	MDK	midkine
cg00078867	WAS	Wiskott-Aldrich syndrome protein
cg00079056	SPINK4	serine protease inhibitor; Kazal type 4
cg00079563	ARFGAP3	ADP-ribosylation factor GTPase activating protein 3
cg00080012	EED	embryonic ectoderm development isoform a
cg00081935	TSPAN9	tetraspanin 9
cg00081975	ABCC3	ATP-binding cassette; sub-family C; member 3 isoform MRP3
cg00083720	DSTN	destrin isoform a
cg00083937	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2 isoform 1
cg00084687	GATAD1	ocular development-associated gene
cg00089071	PCGF2	ring finger protein 110
cg00090147	GATA4	GATA binding protein 4
cg00091693	KRT20	keratin 20
cg00093177	FLJ43826	hypothetical protein LOC342666
cg00094319	PABPC3	poly(A) binding protein; cytoplasmic 3
cg00094851	KIF3C	kinesin family member 3C
cg00095526	CACNA1S	calcium channel; voltage-dependent; L type; alpha 1S subunit
cg00095674	PLEKHO1	OC120
cg00096922	DLX5	distal-less homeo box 5
cg00097536	ZFP36L2	butyrate response factor 2
cg00098162	ANKRD22	ankyrin repeat domain 22
cg00098239	NTE	neuropathy target esterase
cg00099550	HNRPF	heterogeneous nuclear ribonucleoprotein F
cg00101227	MPZ	myelin protein zero
cg00103783	MPDU1	mannose-P-dolichol utilization defect 1
cg00105253	NUDT14	nudix -type motif 14
cg00105470	C1orf35	hypothetical protein LOC79169
cg00107187	FLJ42486	hypothetical protein LOC388021
cg00107488	TXNRD2	thioredoxin reductase 2 isoform 2
cg00107632	PGM2	phosphoglucomutase 2
cg00108454	C1QA	complement component 1; q subcomponent; alpha polypeptide precursor
cg00109274	DGKH	diacylglycerol kinase; eta isoform 1
cg00112517	PPP1R1B	protein phosphatase 1; regulatory (inhibitor) subunit 1B isoform 1
cg00113020	LILRB4	leukocyte immunoglobulin-like receptor; subfamily B (with TM and ITIM domains); member 4
cg00113951	CABP1	calcium binding protein 1 isoform 1
cg00115714	AMD1	S-adenosylmethionine decarboxylase 1 isoform 1 precursor
cg00116234	ADAMTSL1	ADAMTS-like 1 isoform 2
cg00116838	FLJ40125	hypothetical protein LOC147699
cg00117172	RUNX3	runt-related transcription factor 3 isoform 2
cg00119079	LAMP3	lysosomal-associated membrane protein 3
cg00121158	JMJD2C	jumonji domain containing 2C
cg00121640	ASTN2	astrotactin 2 isoform d
cg00121904	MAOB	amine oxidase (flavin-containing)
cg00123035	RFX5	regulatory factor X; 5
cg00126034	WNT3	wingless-type MMTV integration site family; member 3
cg00126657	SSX6	synovial sarcoma; X breakpoint 6
cg00126698	BTK	Bruton agammaglobulinemia tyrosine kinase
cg00128197	HADH2	hydroxyacyl-Coenzyme A dehydrogenase; type II isoform 1
cg00128560	TIGD7	tigger transposable element derived 7
cg00128654	C14orf102	hypothetical protein LOC55051 isoform 2
cg00128766	KIAA0494	hypothetical protein LOC9813
cg00128877	MKNK1	MAP kinase interacting serine/threonine kinase 1 isoform 1
cg00129774	CDK2	cyclin-dependent kinase 2 isoform 1
cg00131121	POLR2J	DNA directed RNA polymerase II polypeptide J
cg00131557	DNAJC15	DNAJ domain-containing
cg00132141	CTNNA3	catenin; alpha 3
cg00133909	CD276	CD276 antigen isoform b
cg00134539	UBASH3A	ubiquitin associated and SH3 domain containing; A long form
cg00134787	MYH1	myosin; heavy polypeptide 1; skeletal muscle; adult
cg00135056	C3orf37	hypothetical protein LOC56941
cg00135393	FGG	fibrinogen; gamma chain isoform gamma-A precursor
cg00136105	GNPTAB	N-acetylglucosamine-1-phosphate transferase
cg00136405	IL21	interleukin 21
cg00136477	C1QC	complement component 1; q subcomponent; gamma polypeptide
cg00136736	C22orf19	Fms-interacting protein
cg00138126	TMEPAI	transmembrane prostate androgen-induced protein isoform a
cg00141162	HCLS1	hematopoietic cell-specific Lyn substrate 1
cg00141550	CCNB3	cyclin B3 isoform 3
cg00141845	RP11-311P8.3	hypothetical protein LOC139596
cg00143376	NMUR1	neuromedin U receptor 1
cg00143998	HIST3H2BB	histone H2B
cg00145118	GNPDA1	glucosamine-6-phosphate deaminase 1
cg00145348	APEX2	apurinic/apyrimidinic endonuclease 2
cg00146096	FANCF	Fanconi anemia; complementation group F
cg00149659	C3orf10	chromosome 3 open reading frame 10
cg00149976	MGLL	monoglyceride lipase isoform 1
cg00151234	PGK1	phosphoglycerate kinase 1
cg00151607	GALNS	N-acetylgalactosamine-6-sulfatase precursor
cg00152644	SPRR2E	small proline-rich protein 2E
cg00155167	VPS13B	vacuolar protein sorting 13B isoform 4
cg00155485	THRAP2	thyroid hormone receptor associated protein 2
cg00155609	PRDX2	peroxiredoxin 2 isoform a
cg00156216	APLP2	amyloid beta (A4) precursor-like protein 2
cg00156744	STK10	serine/threonine kinase 10
cg00158308	OXGR1	oxoglutarate (alpha-ketoglutarate) receptor 1
cg00160914	C1orf183	hypothetical protein LOC55924 isoform 2
cg00162401	GSTA4	glutathione S-transferase A4
cg00162643	DDX58	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide RIG-I
cg00164041	HERC5	hect domain and RLD 5
cg00164898	MAPK11	mitogen-activated protein kinase 11
cg00165981	COL4A3BP	alpha 3 type IV collagen binding protein isoform 2
cg00167504	BLVRA	biliverdin reductase A
cg00168082	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1 isoform b
cg00168785	WDSUB1	WD repeat; SAM and U-box domain containing 1
cg00168942	CX40.1	connexin40.1
cg00169548	BAZ1A	bromodomain adjacent to zinc finger domain; 1A isoform a
cg00171126	WRB	tryptophan rich basic protein
cg00171161	NUDT9	nudix -type motif 9 isoform b
cg00174500	CMTM5	chemokine-like factor superfamily 5 isoform a
cg00174901	PALM	paralemmin
cg00176210	ANK1	ankyrin 1 isoform 4
cg00176879	PTPRA	protein tyrosine phosphatase; receptor type; A isoform 1 precursor
cg00177013	ARFRP1	ADP-ribosylation factor related protein 1
cg00177698	PNPO	pyridoxine 5prime-phosphate oxidase
cg00177923	LEPROTL1	leptin receptor overlapping transcript-like 1
cg00178790	C18orf19	hypothetical protein LOC125228
cg00179446	UPF3B	UPF3 regulator of nonsense transcripts homolog B isoform 2
cg00180012	LACE1	lactation elevated 1
cg00180631	MTM1	myotubularin
cg00182461	PPIL3	peptidylprolyl isomerase-like protein 3 isoform PPIL3a
cg00183782	MEF2A	MADS box transcription enhancer factor 2; polypeptide A (myocyte enhancer factor 2A)
cg00183916	HS3ST3B1	heparan sulfate D-glucosaminyl 3-O-sulfotransferase 3B1
cg00184884	SFI1	spindle assembly associated Sfi1 homolog isoform b
cg00184893	ALOXE3	arachidonate lipoxygenase 3
cg00185103	ZNF45	zinc finger protein 45
cg00185839	LRDD	leucine rich repeat and death domain containing protein isoform 2
cg00186141	PODXL	podocalyxin-like precursor isoform 2
cg00186701	TSPYL5	TSPY-like 5
cg00186954	ST5	suppression of tumorigenicity 5 isoform 1
cg00187380	HOXC5	homeobox C5
cg00187686	TCN1	transcobalamin I precursor
cg00188348	BANF1	barrier to autointegration factor 1
cg00191052	CHST7	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7
cg00194146	GFOD1	glucose-fructose oxidoreductase domain containing 1
cg00195561	CHRM4	cholinergic receptor; muscarinic 4
cg00197381	FAM53C	family 53; member C protein
cg00197641	MRPL52	mitochondrial ribosomal protein L52 isoform a
cg00199549	MCM5	minichromosome maintenance deficient protein 5
cg00200063	USP32	ubiquitin specific protease 32
cg00201234	FBLN2	fibulin 2 precursor; isoform a
cg00202702	MGC13040	hypothetical protein LOC85016
cg00202711	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C
cg00204262	ECH1	peroxisomal enoyl-coenzyme A hydratase-like protein
cg00206052	RP11-529I10.4	DPCD protein
cg00207534	KIAA0174	putative MAPK activating protein PM28
cg00208830	LAMC2	laminin; gamma 2 isoform a precursor
cg00208967	OLFM2	olfactomedin 2
cg00209066	BRD1	bromodomain containing protein 1
cg00209951	DENND2C	DENN/MADD domain containing 2C
cg00210842	APAF1	apoptotic protease activating factor isoform e
cg00211661	CENTD2	centaurin delta 2 isoform b
cg00212549	SEMA5B	semaphorin 5B isoform 2
cg00213044	KRT6C	keratin 6C
cg00213331	SIL1	endoplasmic reticulum chaperone SIL1; homolog of yeast
cg00213714	TRIM32	TAT-interactive protein; 72-KD
cg00214346	PRKAR1A	cAMP-dependent protein kinase; regulatory subunit alpha 1
cg00214794	KRT17	keratin 17
cg00214855	C6orf79	hypothetical protein LOC63933 isoform 2
cg00215066	MYO9B	myosin IXB
cg00216361	GAP43	growth associated protein 43
cg00216758	C11orf35	hypothetical protein LOC256329
cg00217795	DIO2	deiodinase; iodothyronine; type II isoform a
cg00221494	FARP1	FERM; RhoGEF; and pleckstrin domain protein 1 isoform 1
cg00223186	ACBD6	acyl-Coenzyme A binding domain containing 6
cg00223950	RBAF600	retinoblastoma-associated factor 600
cg00224234	RNMTL1	RNA methyltransferase like 1
cg00224508	CDC42SE1	CDC42 small effector 1
cg00226904	SERPINB5	serine (or cysteine) proteinase inhibitor; clade B (ovalbumin); member 5
cg00226923	FGD2	FYVE; RhoGEF and PH domain containing 2
cg00228799	ENDOG	endonuclease G precursor
cg00229387	TJAP1	tight junction protein 4 (peripheral)
cg00230271	MGC16169	hypothetical protein LOC93627
cg00230368	IGF2R	insulin-like growth factor 2 receptor
cg00230502	CCDC60	hypothetical protein LOC160777
cg00230685	SCML1	sex comb on midleg-like 1
cg00231140	ACAA2	acetyl-coenzyme A acyltransferase 2
cg00231644	TUBB2A	tubulin; beta 2
cg00231920	VPS16	vacuolar protein sorting 16 isoform 1
cg00233307	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1
cg00234616	TLX2	T-cell leukemia; homeobox 2 isoform 2
cg00234961	ZBED4	zinc finger; BED domain containing 4
cg00236832	RARA	retinoic acid receptor; alpha isoform b
cg00237010	NINJ2	ninjurin 2
cg00238052	TCEAL2	transcription elongation factor A (SII)-like 2
cg00239071	C14orf68	chromosome 14 open reading frame 68
cg00239419	RPS6KB1	ribosomal protein S6 kinase; 70kDa; polypeptide 1
cg00239685	GORASP1	Golgi reassembly stacking protein 1
cg00240312	CDH1	cadherin 1; type 1 preproprotein
cg00240432	TWIST1	twist
cg00240880	WISP2	WNT1 inducible signaling pathway protein 2 precursor
cg00241355	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
cg00242839	RBM17	RNA binding motif protein 17
cg00243313	IRX4	iroquois homeobox protein 4
cg00245878	H-plk	Krueppel-related zinc finger protein
cg00247489	CR2	complement component (3d/Epstein Barr virus) receptor 2 isoform 2
cg00250430	DMRT2	doublesex and mab-3 related transcription factor 2 isoform 1
cg00253200	C3orf59	hypothetical protein LOC151963
cg00256074	MYLPF	myosin light chain 2
cg00256166	KLHL25	BTB/POZ KELCH domain protein
cg00256281	PMM1	phosphomannomutase 1
cg00259755	PWWP2	PWWP domain containing 2
cg00260778	C10orf111	hypothetical protein LOC221060
cg00261552	CREBL2	cAMP responsive element binding protein-like 2
cg00261781	MATN3	matrilin 3 precursor
cg00262415	PUSL1	pseudouridylate synthase-like 1
cg00263723	NSF	N-ethylmaleimide-sensitive factor
cg00263760	VAX1	ventral anterior homeobox 1
cg00265415	B3GALNT2	UDP-GalNAc:betaGlcNAc beta 1;3-galactosaminyltransferase; polypeptide 2
cg00265490	MTDH	LYRIC/3D3
cg00268009	ADH5	class III alcohol dehydrogenase 5 chi subunit
cg00268338	HECTD2	HECT domain containing 2 isoform b
cg00269115	LOC148898	hypothetical protein LOC148898 isoform 1
cg00269932	LAIR2	leukocyte-associated Ig-like receptor 2 isoform a
cg00273068	EMILIN3	elastin microfibril interfacer 3
cg00273124	NOLA2	nucleolar protein family A; member 2 isoform a
cg00274399	FGF9	fibroblast growth factor 9 precursor
cg00275232	ZNF342	zinc finger protein 342
cg00276797	SLK	serine/threonine kinase 2
cg00278366	RAD9B	RAD9 homolog B
cg00279797	AMMECR1	AMMECR1 protein isoform 1
cg00280814	FLJ31568	hypothetical protein LOC150244
cg00280894	NXF2	nuclear RNA export factor 2
cg00282347	CHD5	chromodomain helicase DNA binding protein 5
cg00282683	UBE3C	ubiquitin protein ligase E3C
cg00283535	ANXA13	annexin A13 isoform a
cg00288562	TRA2A	transformer-2 alpha
cg00290028	RFXAP	regulatory factor X-associated protein
cg00290506	CNIH3	cornichon homolog 3
cg00291877	SNRPA1	small nuclear ribonucleoprotein polypeptide A
cg00292662	LGALS1	beta-galactoside-binding lectin precursor
cg00292971	KIAA0773	hypothetical protein LOC9715
cg00293409	LRRC33	leucine rich repeat containing 33
cg00294382	IL23A	interleukin 23; alpha subunit p19 precursor
cg00295206	RAB7	RAB7; member RAS oncogene family
cg00295325	ABCB11	ATP-binding cassette; sub-family B (MDR/TAP); member 11
cg00296685	GTF2H4	general transcription factor IIH; polypeptide 4; 52kDa
cg00297584	FLJ42957	hypothetical protein LOC400077
cg00297600	UNC5D	netrin receptor Unc5h4
cg00298357	IL17B	interleukin 17B precursor
cg00298951	CMKLR1	chemokine-like receptor 1
cg00301864	RAB35	RAB35; member RAS oncogene family
cg00302793	PPP3CA	protein phosphatase 3 (formerly 2B); catalytic subunit; alpha isoform (calcineurin A alpha)
cg00303548	HS6ST3	heparan sulfate 6-O-sulfotransferase 3 isoform 1
cg00304278	TLK2	tousled-like kinase 2
cg00307685	BRDT	testis-specific bromodomain protein
cg00308133	GAMT	guanidinoacetate N-methyltransferase isoform a
cg00308665	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A
cg00309056	STARD3NL	MLN64 N-terminal homolog
cg00309204	C17orf61	hypothetical protein LOC254863
cg00311768	TSTA3	tissue specific transplantation antigen P35B
cg00312919	STARD3NL	MLN64 N-terminal homolog
cg00314943	ALPPL2	placental-like alkaline phosphatase preproprotein
cg00315936	SND1	staphylococcal nuclease domain containing 1
cg00317680	MTERFD1	MTERF domain containing 1
cg00318573	CHRNA4	cholinergic receptor; nicotinic; alpha polypeptide 4 precursor
cg00318865	ACVR1B	activin A type IB receptor isoform b precursor
cg00319692	ATP6V0D2	ATPase; H+ transporting; lysosomal 38kDa; V0 subunit d isoform 2
cg00319761	PKMYT1	protein kinase Myt1 isoform 2
cg00320243	RAB3A	RAB3A; member RAS oncogene family
cg00321065	RLF	rearranged L-myc fusion sequence
cg00321478	CRB1	crumbs homolog 1 isoform I precursor
cg00323915	GIMAP4	GTPase; IMAP family member 4
cg00324733	NUCB2	nucleobindin 2
cg00325491	FN5	FN5 protein
cg00327185	DLAT	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)
cg00327483	CASQ1	skeletal muscle calsequestrin 1
cg00328227	C1orf59	hypothetical protein LOC113802
cg00331237	CSRP2	cysteine and glycine-rich protein 2
cg00331433	SYAP1	SYAP1 protein
cg00332153	BANK1	B-cell scaffold protein with ankyrin repeats 1
cg00332745	NOL3	nucleolar protein 3
cg00333226	UNQ739	hypothetical protein LOC375567
cg00333528	GABRR1	gamma-aminobutyric acid (GABA) receptor; rho 1
cg00334507	MVP	major vault protein
cg00335286	MC2R	melanocortin 2 receptor
cg00336605	NR1H2	nuclear receptor subfamily 1; group H; member 2
cg00338702	CHFR	checkpoint with forkhead and ring finger domains
cg00338893	MRPS33	mitochondrial ribosomal protein S33
cg00340102	ERGIC3	serologically defined breast cancer antigen 84 isoform b
cg00342530	GARNL3	GTPase activating Rap/RanGAP domain-like 3
cg00343092	BZRP	peripheral benzodiazapine receptor isoform PBR
cg00344358	GDF11	growth differentiation factor 11
cg00344372	HGFAC	HGF activator preproprotein
cg00344709	ANKRD21	pote protein
cg00346145	RPL34	ribosomal protein L34
cg00347729	MMP10	matrix metalloproteinase 10 preproprotein
cg00347904	SCUBE3	signal peptide; CUB domain; EGF-like 3
cg00350296	CD248	tumor endothelial marker 1 precursor
cg00350478	FRMD1	FERM domain containing 1
cg00350702	ERGIC3	serologically defined breast cancer antigen 84 isoform b
cg00351011	LASS4	LAG1 longevity assurance homolog 4
cg00353953	ZNF384	nuclear matrix transcription factor 4
cg00354258	ZIM2	zinc finger; imprinted 2
cg00354572	FLJ21963	hypothetical protein LOC79611
cg00355802	DUSP4	dual specificity phosphatase 4 isoform 2
cg00359325	USP4	ubiquitin specific protease; proto-oncogene isoform a
cg00359973	RIBC1	RIB43A domain with coiled-coils 1 isoform 2
cg00363813	HOM-TES-103	hypothetical protein LOC25900 isoform 1
cg00364344	TPP1	tripeptidyl-peptidase I precursor
cg00364814	R3HDM2	hypothetical protein LOC22864
cg00365193	NQO2	NAD(P)H dehydrogenase; quinone 2
cg00367281	CHRNB3	cholinergic receptor; nicotinic; beta polypeptide 3
cg00367438	C7orf21	hypothetical protein LOC83590
cg00368022	FLJ11193	hypothetical protein LOC55322
cg00368415	SNX27	sorting nexin family member 27
cg00371195	F2	coagulation factor II precursor
cg00374717	ARSG	Arylsulfatase G
cg00375964	ABCE1	ATP-binding cassette; sub-family E; member 1
cg00376639	ZNF581	zinc finger protein 581
cg00380464	LTV1	hypothetical protein LOC84946
cg00381076	C18orf54	hypothetical protein LOC162681
cg00382515	MRPL44	mitochondrial ribosomal protein L44
cg00382991	LOC388152	hypothetical protein LOC388152
cg00384537	KRTHA5	type I hair keratin 5
cg00386408	TGFBI	transforming growth factor; beta-induced; 68kDa
cg00387170	FOXP4	forkhead box P4 isoform 1
cg00392257	ISG20L2	interferon stimulated exonuclease gene 20kDa-like 2
cg00393585	FLJ31659	hypothetical protein LOC152756
cg00394658	PTPRJ	protein tyrosine phosphatase; receptor type; J precursor
cg00396163	FLJ37357	hypothetical protein LOC284944
cg00396894	MGC44505	hypothetical protein LOC339779
cg00397545	APOC1	apolipoprotein C-I precursor
cg00397740	PPOX	protoporphyrinogen oxidase
cg00398048	AGA	aspartylglucosaminidase precursor
cg00399483	DCC	deleted in colorectal carcinoma
cg00400028	ACPL2	acid phosphatase-like 2
cg00400263	C20orf177	hypothetical protein LOC63939
cg00401678	EMR3	egf-like module-containing mucin-like receptor 3 isoform a
cg00402366	LRRC44	leucine rich repeat containing 44
cg00403724	TNMD	tenomodulin
cg00404599	TSC22D3	TSC22 domain family; member 3 isoform 2
cg00405070	C12orf8	endoplasmic reticulum protein 29 precursor
cg00405568	NMT1	N-myristoyltransferase 1
cg00405677	HAND1	basic helix-loop-helix transcription factor HAND1
cg00406188	LCE2C	late cornified envelope 2C
cg00406844	RFPL3	ret finger protein-like 3
cg00407150	GUP1	hypothetical protein LOC57467
cg00410419	COMMD6	COMM domain containing 6 isoform b
cg00410576	MAPK6	mitogen-activated protein kinase 6
cg00410831	ZNF45	zinc finger protein 45
cg00410895	CCDC23	coiled-coil domain containing 23
cg00410898	STC1	stanniocalcin 1 precursor
cg00410921	CKMT1B	creatine kinase; mitochondrial 1B precursor
cg00411097	MGC9712	hypothetical protein LOC202915
cg00412772	C19orf33	HAI-2 related small protein
cg00412805	KBTBD5	kelch repeat and BTB (POZ) domain containing 5
cg00413066	BCL2L10	BCL2-like 10 (apoptosis facilitator)
cg00415164	ALX4	aristaless-like homeobox 4
cg00415494	MAGEA2B	melanoma antigen family A; 2B
cg00415978	SYNPO2	synaptopodin 2
cg00415993	F2RL2	coagulation factor II (thrombin) receptor-like 2 precursor
cg00417297	ZNF619	zinc finger protein 619
cg00418150	ALX4	aristaless-like homeobox 4
cg00419564	S100A6	S100 calcium-binding protein A6
cg00420568	SHC3	src homology 2 domain containing transforming protein C3
cg00420715	VPS13B	vacuolar protein sorting 13B isoform 4
cg00420929	PGPEP1	pyroglutamyl-peptidase I
cg00422913	MGC14376	hypothetical protein LOC84981
cg00424946	SNTB2	basic beta 2 syntrophin isoform b
cg00425710	MT1A	metallothionein 1A
cg00425792	PEX12	peroxisomal biogenesis factor 12
cg00426056	CUTA	cutA divalent cation tolerance homolog isoform 1
cg00426498	MYO18A	myosin 18A isoform a
cg00426963	KIF27	kinesin family member 27
cg00427635	TBC1D21	TBC1 domain family; member 21
cg00429618	ZNF322B	zinc finger protein 322B
cg00430287	FRK	fyn-related kinase
cg00430945	LIN7B	lin-7 homolog B
cg00431050	ELOVL3	elongation of very long chain fatty acids like 3
cg00431114	C20orf121	hypothetical protein LOC79183
cg00431549	MGP	matrix Gla protein
cg00432979	MRP63	mitochondrial ribosomal protein 63
cg00433406	FLJ32784	hypothetical protein LOC127731
cg00434413	ARD1A	N-acetyltransferase; homolog of S. cerevisiae ARD1
cg00435408	RSPRY1	hypothetical protein LOC89970
cg00436282	STATH	statherin isoform a
cg00436301	NT5DC1	5prime-nucleotidase; cytosolic II-like 1 protein
cg00436603	CYP2E1	cytochrome P450; family 2; subfamily E; polypeptide 1
cg00441136	KIF3B	kinesin family member 3B
cg00441382	STOML1	stomatin (EPB72)-like 1
cg00443307	KLRG1	killer cell lectin-like receptor subfamily G; member 1
cg00445824	ISYNA1	myo-inositol 1-phosphate synthase A1
cg00446235	F11R	F11 receptor isoform a precursor
cg00447208	TMC8	EVIN2
cg00448720	MGC48915	hypothetical protein LOC338872
cg00449941	SPAG5	sperm associated antigen 5
cg00451635	EMP2	epithelial membrane protein 2
cg00453193	TES	testin isoform 1
cg00453258	FAM26C	hypothetical protein LOC255022
cg00459975	HMBOX1	hypothetical protein LOC79618
cg00461841	ATF7IP2	activating transcription factor 7 interacting protein 2
cg00462311	NFATC4	cytoplasmic nuclear factor of activated T-cells 4
cg00462994	NAGS	N-acetylglutamate synthase
cg00463202	ADPRHL1	ADP-ribosylhydrolase like 1 isoform 2
cg00463577	C6orf150	hypothetical protein LOC115004
cg00463848	KRT2A	keratin 2a
cg00464269	TNFAIP1	tumor necrosis factor; alpha-induced protein 1
cg00465284	LRRTM1	leucine rich repeat transmembrane neuronal 1
cg00465846	RNF139	ring finger protein 139
cg00466249	MGC15523	hypothetical protein LOC124565
cg00466436	DEFB126	beta defensin 126 preproprotein
cg00466492	CTXN1	cortexin 1
cg00466544	C14orf101	hypothetical protein LOC54916
cg00468146	ID4	inhibitor of DNA binding 4; dominant negative helix-loop-helix protein
cg00469635	PPME1	protein phosphatase methylesterase-1
cg00471562	WDR37	WD repeat domain 37
cg00472136	TAC3	tachykinin 3 isoform 1
cg00472814	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif; 1 preproprotein
cg00474004	IFNA14	interferon; alpha 14
cg00474209	DLL1	delta-like 1
cg00475955	C9orf114	hypothetical protein LOC51490
cg00476577	ZNF217	zinc finger protein 217
cg00476580	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family; member E
cg00479269	C2orf29	hypothetical protein LOC55571
cg00480115	FXYD3	FXYD domain containing ion transport regulator 3 isoform 2 precursor
cg00480209	C17orf48	hypothetical protein LOC56985
cg00480356	HYPK	Huntingtin interacting protein K
cg00481227	CTNNBL1	beta catenin-like 1
cg00483154	DDX41	DEAD-box protein abstrakt
cg00485296	NME3	nucleoside-diphosphate kinase 3
